"PPG","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","Tesco_Week_No","Base_Units","RSP_Unit","Net_Cost_Unit","FM%","COGS_Unit","BIP_Case","OID","No_Of_Units","STP_Unit","OID_Unit","UNCR_Unit"
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",1,35,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",2,58,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",3,67,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",4,33,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",5,44,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",6,50,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",7,33,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",8,48,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",9,59,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",10,33,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",11,14,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",12,30,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",13,48,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",14,33,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",15,54,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",16,19,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",17,65,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",18,64,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",19,63,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",20,42,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",21,55,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",22,46,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",23,54,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",24,62,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",25,50,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",26,30,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",27,39,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",28,43,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",29,40,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",30,36,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",31,18,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",32,62,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",33,38,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",34,44,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",35,44,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",36,41,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
